"","Country","Happiness score","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","continent"
"86","Benin",5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,"Africa"
"87","Maldives",5.197599888,9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,0.824211061,"Asia"
"88","Congo (Brazzaville)",5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079,"Africa"
"89","Azerbaijan",5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,"Asia"
"90","Macedonia",5.159800053,9.510591507,0.820392311,67.50442505,0.738840938,-0.019877451,0.897490501,"Europe"
"91","Ghana",5.147999763,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764,"Africa"
"92","Nepal",5.137199879,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158,"Asia"
"93","Turkey",5.131800175,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,"Asia"
"94","China",5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,"Asia"
"95","Turkmenistan",5.119100094,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847,"Asia"
"96","Bulgaria",5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,"Europe"
"97","Morocco",5.094799995,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,"Africa"
"98","Cameroon",5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,"Africa"
"99","Venezuela",5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,"Americas"
"100","Algeria",5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,"Africa"
"101","Senegal",4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,"Africa"
"102","Guinea",4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,"Africa"
"103","Niger",4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186,"Africa"
"104","Laos",4.888599873,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317,"Asia"
"105","Albania",4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,"Europe"
"106","Cambodia",4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,"Asia"
"107","Bangladesh",4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,"Asia"
"108","Gabon",4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956,"Africa"
"109","South Africa",4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,"Africa"
"110","Iraq",4.784800053,9.661095619,0.747694969,59.90354919,0.633182645,-0.06956476,0.82226181,"Asia"
"111","Lebanon",4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625,"Asia"
