Rank,Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,continent,year,P GDP per capita,P Social support,P Healthy life expectancy,P Freedom to make life choices,P Generosity,P Perceptions of corruption,SUMOFp
126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,Africa,2018,0.13 ,0.29 ,0.07 ,0.03 ,0.03 ,0.02 ,0.56 
127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,Africa,2018,0.07 ,0.22 ,0.09 ,0.10 ,0.05 ,0.03 ,0.57 
128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,Asia,2018,0.20 ,0.14 ,0.15 ,0.09 ,0.01 ,0.05 ,0.63 
129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,Asia,2018,0.19 ,0.23 ,0.15 ,0.06 ,0.02 ,0.01 ,0.66 
130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,Asia,2018,0.16 ,0.27 ,0.10 ,0.13 ,0.14 ,0.04 ,0.85 
131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,Africa,2018,0.08 ,0.21 ,0.01 ,0.04 ,0.04 ,0.01 ,0.41 
132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,Africa,2018,0.02 ,0.27 ,0.05 ,0.07 ,0.05 ,0.01 ,0.46 
133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,Asia,2018,0.17 ,0.18 ,0.12 ,0.13 ,0.04 ,0.02 ,0.66 
134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,Africa,2018,0.03 ,0.21 ,0.05 ,0.09 ,0.04 ,0.02 ,0.45 
135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,Africa,2018,0.08 ,0.26 ,0.06 ,0.11 ,0.06 ,0.01 ,0.58 
136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,Africa,2018,0.09 ,0.09 ,0.06 ,0.11 ,0.04 ,0.02 ,0.40 
137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,Africa,2018,0.15 ,0.30 ,0.08 ,0.00 ,0.03 ,0.02 ,0.58 
