Rank,Country,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,continent,year,P GDP per capita,P Social support,P Healthy life expectancy,P Freedom to make life choices,P Generosity,P Perceptions of corruption,SUMOFp
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Europe,2019,0.21 ,0.25 ,0.16 ,0.09 ,0.02 ,0.01 ,0.74 
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,Americas,2019,0.11 ,0.22 ,0.14 ,0.07 ,0.03 ,0.02 ,0.59 
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Europe,2019,0.14 ,0.20 ,0.12 ,0.08 ,0.04 ,0.00 ,0.59 
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Americas,2019,0.18 ,0.24 ,0.14 ,0.08 ,0.01 ,0.01 ,0.66 
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Europe,2019,0.19 ,0.20 ,0.14 ,0.08 ,0.01 ,0.00 ,0.62 
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Asia,2019,0.21 ,0.20 ,0.17 ,0.07 ,0.03 ,0.01 ,0.69 
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Americas,2019,0.15 ,0.22 ,0.14 ,0.08 ,0.02 ,0.01 ,0.63 
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Asia,2019,0.25 ,0.22 ,0.13 ,0.08 ,0.02 ,0.02 ,0.72 
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Asia,2019,0.17 ,0.23 ,0.14 ,0.09 ,0.06 ,0.00 ,0.70 
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Europe,2019,0.20 ,0.25 ,0.14 ,0.04 ,0.01 ,0.01 ,0.65 
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Asia,2019,0.22 ,0.21 ,0.18 ,0.03 ,0.03 ,0.01 ,0.67 
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Europe,2019,0.21 ,0.26 ,0.15 ,0.08 ,0.02 ,0.03 ,0.75 
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Americas,2019,0.14 ,0.25 ,0.14 ,0.08 ,0.02 ,0.00 ,0.64 
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Africa,2019,0.19 ,0.24 ,0.14 ,0.08 ,0.04 ,0.01 ,0.70 
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Asia,2019,0.23 ,0.24 ,0.18 ,0.08 ,0.01 ,0.02 ,0.76 
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Americas,2019,0.11 ,0.21 ,0.14 ,0.09 ,0.04 ,0.01 ,0.60 
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Asia,2019,0.20 ,0.26 ,0.13 ,0.07 ,0.03 ,0.02 ,0.70 
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Americas,2019,0.13 ,0.21 ,0.12 ,0.09 ,0.02 ,0.01 ,0.59 
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Europe,2019,0.21 ,0.24 ,0.14 ,0.03 ,0.01 ,0.00 ,0.65 
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Americas,2019,0.15 ,0.26 ,0.14 ,0.09 ,0.03 ,0.01 ,0.68 
64,North Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Asia,2019,0.22 ,0.22 ,0.18 ,0.07 ,0.03 ,0.03 ,0.76 
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Americas,2019,0.17 ,0.22 ,0.15 ,0.08 ,0.01 ,0.00 ,0.64 
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Europe,2019,0.21 ,0.25 ,0.18 ,0.09 ,0.01 ,0.00 ,0.74 
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Asia,2019,0.12 ,0.16 ,0.09 ,0.06 ,0.04 ,0.02 ,0.48 
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Europe,2019,0.21 ,0.26 ,0.13 ,0.06 ,0.01 ,0.01 ,0.67 
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Asia,2019,0.14 ,0.23 ,0.12 ,0.10 ,0.02 ,0.02 ,0.63 
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Europe,2019,0.18 ,0.25 ,0.15 ,0.05 ,0.02 ,0.01 ,0.66 
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,Europe,2019,0.12 ,0.24 ,0.13 ,0.04 ,0.03 ,0.00 ,0.57 
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Africa,2019,0.19 ,0.24 ,0.12 ,0.08 ,0.02 ,0.03 ,0.67 
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Europe,2019,0.19 ,0.25 ,0.16 ,0.04 ,0.03 ,0.01 ,0.67 
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Asia,2019,0.09 ,0.20 ,0.13 ,0.07 ,0.04 ,0.03 ,0.56 
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Europe,2019,0.21 ,0.23 ,0.17 ,0.05 ,0.02 ,0.00 ,0.69 
76,Hong Kong S.A.R. of China,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Asia,2019,0.26 ,0.24 ,0.21 ,0.08 ,0.05 ,0.05 ,0.89 
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,Americas,2019,0.19 ,0.26 ,0.14 ,0.09 ,0.02 ,0.02 ,0.72 
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Europe,2019,0.18 ,0.23 ,0.16 ,0.04 ,0.05 ,0.00 ,0.65 
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Asia,2019,0.22 ,0.25 ,0.15 ,0.04 ,0.02 ,0.02 ,0.70 
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Asia,2019,0.23 ,0.22 ,0.16 ,0.10 ,0.05 ,0.00 ,0.75 
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Europe,2019,0.20 ,0.28 ,0.15 ,0.04 ,0.02 ,0.03 ,0.71 
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,Europe,2019,0.22 ,0.22 ,0.19 ,0.01 ,0.00 ,0.01 ,0.65 
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Asia,2019,0.18 ,0.29 ,0.13 ,0.06 ,0.04 ,0.01 ,0.71 
84,Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Europe,2019,0.19 ,0.25 ,0.16 ,0.07 ,0.04 ,0.01 ,0.70 
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Africa,2019,0.13 ,0.21 ,0.05 ,0.08 ,0.04 ,0.01 ,0.52 
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Asia,2019,0.10 ,0.27 ,0.14 ,0.10 ,0.06 ,0.00 ,0.67 
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Asia,2019,0.20 ,0.29 ,0.13 ,0.08 ,0.05 ,0.01 ,0.75 
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Africa,2019,0.19 ,0.22 ,0.15 ,0.02 ,0.01 ,0.02 ,0.62 
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Africa,2019,0.15 ,0.15 ,0.15 ,0.08 ,0.01 ,0.01 ,0.56 
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Asia,2019,0.20 ,0.22 ,0.15 ,0.07 ,0.01 ,0.03 ,0.68 
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Asia,2019,0.19 ,0.24 ,0.16 ,0.04 ,0.03 ,0.01 ,0.66 
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Asia,2019,0.18 ,0.23 ,0.13 ,0.09 ,0.10 ,0.01 ,0.73 
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Asia,2019,0.20 ,0.22 ,0.17 ,0.10 ,0.01 ,0.02 ,0.72 
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Asia,2019,0.14 ,0.26 ,0.16 ,0.10 ,0.03 ,0.01 ,0.72 
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Asia,2019,0.16 ,0.26 ,0.12 ,0.09 ,0.07 ,0.03 ,0.73 
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Africa,2019,0.11 ,0.18 ,0.07 ,0.08 ,0.04 ,0.01 ,0.47 
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Europe,2019,0.22 ,0.30 ,0.16 ,0.06 ,0.02 ,0.00 ,0.76 
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Africa,2019,0.12 ,0.17 ,0.10 ,0.08 ,0.05 ,0.01 ,0.53 
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Africa,2019,0.12 ,0.16 ,0.05 ,0.07 ,0.03 ,0.02 ,0.45 
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Asia,2019,0.09 ,0.25 ,0.14 ,0.09 ,0.06 ,0.02 ,0.64 
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Asia,2019,0.17 ,0.25 ,0.17 ,0.08 ,0.02 ,0.03 ,0.71 
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Africa,2019,0.08 ,0.09 ,0.08 ,0.07 ,0.04 ,0.02 ,0.38 
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,Africa,2019,0.14 ,0.17 ,0.11 ,0.08 ,0.02 ,0.02 ,0.53 
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Africa,2019,0.22 ,0.25 ,0.12 ,0.06 ,0.01 ,0.01 ,0.67 
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Asia,2019,0.16 ,0.21 ,0.11 ,0.11 ,0.06 ,0.03 ,0.69 
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Africa,2019,0.20 ,0.29 ,0.10 ,0.08 ,0.03 ,0.01 ,0.71 
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Europe,2019,0.20 ,0.18 ,0.19 ,0.08 ,0.04 ,0.01 ,0.69 
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Americas,2019,0.20 ,0.30 ,0.17 ,0.03 ,0.01 ,0.01 ,0.73 
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Asia,2019,0.12 ,0.24 ,0.14 ,0.13 ,0.05 ,0.01 ,0.69 
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Asia,2019,0.14 ,0.27 ,0.14 ,0.05 ,0.02 ,0.01 ,0.63 
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Africa,2019,0.10 ,0.24 ,0.12 ,0.06 ,0.03 ,0.02 ,0.57 
112,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,Africa,2019,0.00 ,0.15 ,0.06 ,0.12 ,0.05 ,0.06 ,0.44 
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Africa,2019,0.19 ,0.28 ,0.10 ,0.09 ,0.02 ,0.01 ,0.69 
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Africa,2019,0.03 ,0.17 ,0.08 ,0.07 ,0.04 ,0.02 ,0.41 
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Africa,2019,0.07 ,0.23 ,0.08 ,0.06 ,0.04 ,0.02 ,0.50 
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Asia,2019,0.19 ,0.23 ,0.18 ,0.06 ,0.02 ,0.01 ,0.69 
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Asia,2019,0.24 ,0.19 ,0.17 ,0.07 ,0.06 ,0.03 ,0.75 
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Africa,2019,0.08 ,0.18 ,0.08 ,0.07 ,0.05 ,0.02 ,0.49 
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Asia,2019,0.20 ,0.15 ,0.17 ,0.08 ,0.01 ,0.04 ,0.63 
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Africa,2019,0.07 ,0.21 ,0.09 ,0.08 ,0.06 ,0.04 ,0.55 
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Africa,2019,0.11 ,0.22 ,0.13 ,0.10 ,0.08 ,0.01 ,0.65 
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Africa,2019,0.13 ,0.26 ,0.11 ,0.01 ,0.02 ,0.02 ,0.55 
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Africa,2019,0.05 ,0.22 ,0.09 ,0.11 ,0.04 ,0.03 ,0.54 
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,Africa,2019,0.21 ,0.22 ,0.18 ,0.04 ,0.01 ,0.01 ,0.68 
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Asia,2019,0.13 ,0.21 ,0.16 ,0.12 ,0.04 ,0.03 ,0.68 
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Asia,2019,0.24 ,0.22 ,0.13 ,0.05 ,0.03 ,0.02 ,0.69 
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,Africa,2019,0.02 ,0.25 ,0.08 ,0.06 ,0.05 ,0.01 ,0.48 
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Africa,2019,0.09 ,0.25 ,0.07 ,0.07 ,0.03 ,0.01 ,0.53 
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Africa,2019,0.06 ,0.19 ,0.06 ,0.07 ,0.06 ,0.01 ,0.45 
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Asia,2019,0.22 ,0.29 ,0.19 ,0.11 ,0.06 ,0.01 ,0.87 
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Asia,2019,0.16 ,0.27 ,0.13 ,0.12 ,0.13 ,0.04 ,0.85 
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Africa,2019,0.08 ,0.18 ,0.04 ,0.04 ,0.05 ,0.02 ,0.40 
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Europe,2019,0.19 ,0.32 ,0.17 ,0.04 ,0.04 ,0.00 ,0.77 
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Africa,2019,0.08 ,0.24 ,0.12 ,0.08 ,0.05 ,0.02 ,0.60 
135,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135,Africa,2019,0.19 ,0.27 ,0.00 ,0.07 ,0.02 ,0.03 ,0.59 
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Africa,2019,0.08 ,0.26 ,0.11 ,0.08 ,0.06 ,0.01 ,0.60 
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Africa,2019,0.22 ,0.25 ,0.15 ,0.06 ,0.02 ,0.02 ,0.72 
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Africa,2019,0.14 ,0.26 ,0.10 ,0.10 ,0.06 ,0.02 ,0.69 
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Africa,2019,0.07 ,0.14 ,0.10 ,0.07 ,0.04 ,0.02 ,0.44 
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Asia,2019,0.19 ,0.19 ,0.15 ,0.12 ,0.05 ,0.02 ,0.72 
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Africa,2019,0.02 ,0.23 ,0.11 ,0.09 ,0.06 ,0.01 ,0.52 
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Africa,2019,0.07 ,0.19 ,0.13 ,0.04 ,0.07 ,0.02 ,0.51 
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Africa,2019,0.07 ,0.23 ,0.14 ,0.04 ,0.04 ,0.01 ,0.53 
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Africa,2019,0.13 ,0.31 ,0.04 ,0.09 ,0.03 ,0.02 ,0.63 
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Africa,2019,0.01 ,0.12 ,0.10 ,0.06 ,0.05 ,0.05 ,0.38 
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Africa,2019,0.10 ,0.30 ,0.12 ,0.10 ,0.04 ,0.02 ,0.69 
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Americas,2019,0.09 ,0.19 ,0.12 ,0.01 ,0.12 ,0.03 ,0.56 
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Africa,2019,0.30 ,0.33 ,0.15 ,0.13 ,0.01 ,0.03 ,0.95 
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Asia,2019,0.18 ,0.11 ,0.13 ,0.00 ,0.10 ,0.04 ,0.56 
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Africa,2019,0.06 ,0.16 ,0.15 ,0.13 ,0.06 ,0.03 ,0.59 
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Asia,2019,0.08 ,0.34 ,0.14 ,0.04 ,0.03 ,0.02 ,0.66 
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Africa,2019,0.11 ,0.21 ,0.18 ,0.17 ,0.07 ,0.12 ,0.86 
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Africa,2019,0.15 ,0.27 ,0.15 ,0.13 ,0.09 ,0.05 ,0.84 
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,Asia,2019,0.11 ,0.16 ,0.11 ,0.00 ,0.05 ,0.01 ,0.44 
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,Africa,2019,0.01 ,0.00 ,0.03 ,0.07 ,0.08 ,0.01 ,0.20 
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Africa,2019,0.11 ,0.20 ,0.10 ,0.00 ,0.07 ,0.03 ,0.52 
