"","Country","Happiness_score","GDP_per_capita","Social_support","Healthy_life_expectancy","Freedom_to_make_life_choices","Generosity","Perceptions_of_corruption","continent","year"
"99","Bulgaria","4.933","1.054","1.515","0.7120000000000001","0.359","0.064","0.009000000000000001","Europe","2018"
"96","Bulgaria","5.011","1.092","1.5130000000000001","0.815","0.311","0.081","0.004","Europe","2019"
"144","Burkina Faso","3.739","0.31995201100000004","0.630537152","0.212966383","0.33369737899999996","0.243525133","0.125326842","Africa","2016"
"133","Burkina Faso","4.032","0.35","1.043","0.21600000000000003","0.324","0.251","0.12","Africa","2017"
"120","Burkina Faso","4.4239999999999995","0.314","1.097","0.254","0.312","0.175","0.128","Africa","2018"
"114","Burkina Faso","4.587","0.331","1.056","0.38","0.255","0.177","0.113","Africa","2019"
"156","Burundi","2.905","0.068309732","0.23442444199999998","0.157467261","0.04320135","0.202902168","0.09418750599999999","Africa","2016"
"153","Burundi","2.905","0.092","0.63","0.152","0.06","0.204","0.084","Africa","2017"
"155","Burundi","2.905","0.091","0.627","0.145","0.065","0.149","0.076","Africa","2018"
"144","Burundi","3.775","0.046","0.447","0.38","0.22","0.17600000000000002","0.18","Africa","2019"
"139","Cambodia","3.907","0.556039333","0.537498176","0.42494422200000004","0.588519156","0.403388411","0.08092289400000001","Asia","2016"
"128","Cambodia","4.168","0.602","1.006","0.43","0.633","0.386","0.068","Asia","2017"
"119","Cambodia","4.433","0.5489999999999999","1.088","0.457","0.696","0.256","0.065","Asia","2018"
"108","Cambodia","4.7","0.574","1.122","0.637","0.609","0.23199999999999998","0.062","Asia","2019"
"113","Cameroon","4.513","0.524972677","0.62541908","0.126975924","0.427361518","0.226795286","0.061263487","Africa","2016"
"106","Cameroon","4.695","0.564","0.946","0.133","0.43","0.23600000000000002","0.051","Africa","2017"
"98","Cameroon","4.975","0.535","0.8909999999999999","0.182","0.45399999999999996","0.183","0.043","Africa","2018"
"95","Cameroon","5.044","0.5489999999999999","0.91","0.331","0.381","0.187","0.037000000000000005","Africa","2019"
"5","Canada","7.404","1.4401477580000002","1.096098185","0.827603579","0.57370019","0.44834137","0.313291997","Americas","2016"
"6","Canada","7.316","1.479","1.4809999999999999","0.835","0.611","0.436","0.287","Americas","2017"
"6","Canada","7.327999999999999","1.33","1.5319999999999998","0.8959999999999999","0.653","0.321","0.29100000000000004","Americas","2018"
"8","Canada","7.278","1.365","1.505","1.0390000000000001","0.584","0.285","0.308","Americas","2019"
"143","Chad","3.763","0.42214193899999997","0.6317756179999999","0.038235091","0.128071576","0.186667085","0.049524732","Africa","2016"
"136","Chad","3.9360000000000004","0.43799999999999994","0.9540000000000001","0.040999999999999995","0.162","0.21600000000000003","0.054000000000000006","Africa","2017"
"130","Chad","4.301","0.358","0.907","0.053","0.18899999999999997","0.18100000000000002","0.06","Africa","2018"
"131","Chad","4.35","0.35","0.7659999999999999","0.192","0.174","0.198","0.078","Africa","2019"
"23","Chile","6.705","1.2166962620000001","0.905871034","0.818833172","0.377893388","0.315953463","0.11450775699999999","Americas","2016"
"19","Chile","6.652","1.253","1.284","0.8190000000000001","0.377","0.327","0.08199999999999999","Americas","2017"
"24","Chile","6.476","1.131","1.331","0.8079999999999999","0.431","0.19699999999999998","0.061","Americas","2018"
"25","Chile","6.444","1.159","1.369","0.92","0.35700000000000004","0.187","0.055999999999999994","Americas","2019"
